"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.104","192.168.1.255","NBNS","92","Name query NB DESKTOP-0H0KGOR<1c>"
"2","0.073340","172.64.155.141","192.168.1.104","TLSv1.2","78","Application Data"
"3","0.073684","192.168.1.104","172.64.155.141","TLSv1.2","82","Application Data"
"4","0.085103","100.20.106.186","192.168.1.104","TLSv1.2","486","Application Data"
"5","0.093108","172.64.155.141","192.168.1.104","TCP","54","443  >  56659 [ACK] Seq=25 Ack=29 Win=8 Len=0"
"6","0.139228","192.168.1.104","100.20.106.186","TCP","54","63369  >  443 [ACK] Seq=1 Ack=433 Win=514 Len=0"
"7","0.511377","192.168.1.104","142.251.140.14","UDP","1285","53603  >  443 Len=1243"
"8","0.511520","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"9","0.511571","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"10","0.511613","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"11","0.511662","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"12","0.511707","192.168.1.104","142.251.140.14","UDP","1292","53603  >  443 Len=1250"
"13","0.511751","192.168.1.104","142.251.140.14","UDP","1262","53603  >  443 Len=1220"
"14","0.547068","142.251.140.14","192.168.1.104","UDP","74","443  >  53603 Len=32"
"15","0.555182","142.251.140.14","192.168.1.104","UDP","68","443  >  53603 Len=26"
"16","0.555574","192.168.1.104","142.251.140.14","UDP","74","53603  >  443 Len=32"
"17","0.593621","TpLinkTechno_0d:c8:25","Broadcast","ARP","42","Who has 192.168.1.103? Tell 192.168.1.1"
"18","0.593621","162.159.130.234","192.168.1.104","TLSv1.2","95","Application Data"
"19","0.613120","142.251.140.14","192.168.1.104","UDP","1287","443  >  53603 Len=1245"
"20","0.613716","192.168.1.104","142.251.140.14","UDP","81","53603  >  443 Len=39"
"21","0.616558","142.251.140.14","192.168.1.104","UDP","1292","443  >  53603 Len=1250"
"22","0.616558","142.251.140.14","192.168.1.104","UDP","1292","443  >  53603 Len=1250"
"23","0.616558","142.251.140.14","192.168.1.104","UDP","1292","443  >  53603 Len=1250"
"24","0.616558","142.251.140.14","192.168.1.104","UDP","389","443  >  53603 Len=347"
"25","0.616558","142.251.140.14","192.168.1.104","UDP","89","443  >  53603 Len=47"
"26","0.638790","192.168.1.104","162.159.130.234","TCP","54","54816  >  443 [ACK] Seq=1 Ack=42 Win=513 Len=0"
"27","0.638817","192.168.1.104","142.251.140.14","UDP","75","53603  >  443 Len=33"
"28","0.660230","142.251.140.14","192.168.1.104","UDP","68","443  >  53603 Len=26"
"29","0.761346","192.168.1.104","192.168.1.255","NBNS","92","Name query NB DESKTOP-0H0KGOR<1c>"
"30","1.092118","212.156.184.18","192.168.1.104","UDP","272","443  >  58960 Len=230"
"31","1.093089","192.168.1.104","212.156.184.18","UDP","83","58960  >  443 Len=41"
"32","1.093536","212.156.184.18","192.168.1.104","UDP","111","443  >  58960 Len=69"
"33","1.093536","212.156.184.18","192.168.1.104","UDP","1286","443  >  58960 Len=1244"
"34","1.094932","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"35","1.095304","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"36","1.095605","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"37","1.095697","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"38","1.097137","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"39","1.097137","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"40","1.098290","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"41","1.098290","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"42","1.098290","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"43","1.098440","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"44","1.099043","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"45","1.099043","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"46","1.099043","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"47","1.099610","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"48","1.101175","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"49","1.101175","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"50","1.101334","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"51","1.102037","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"52","1.104960","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"53","1.104960","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"54","1.105279","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"55","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"56","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"57","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"58","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"59","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"60","1.105988","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"61","1.106687","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"62","1.107061","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"63","1.107240","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"64","1.107711","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"65","1.108181","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"66","1.108181","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"67","1.108675","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"68","1.109129","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"69","1.109641","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"70","1.109641","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"71","1.109807","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"72","1.110088","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"73","1.110747","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"74","1.110747","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"75","1.111107","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"76","1.111763","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"77","1.111907","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"78","1.112098","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"79","1.112709","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"80","1.113188","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"81","1.113880","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"82","1.114072","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"83","1.114327","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"84","1.114327","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"85","1.119369","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"86","1.119539","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"87","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"88","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"89","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"90","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"91","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"92","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"93","1.120564","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"94","1.123927","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"95","1.123927","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"96","1.123927","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"97","1.123927","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"98","1.124043","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"99","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"100","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"101","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"102","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"103","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"104","1.128844","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"105","1.128889","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"106","1.128889","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"107","1.128912","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"108","1.129764","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"109","1.129764","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"110","1.129764","212.156.184.18","192.168.1.104","UDP","1010","443  >  58960 Len=968"
