"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.105","74.125.13.39","UDP","77","63745  >  443 Len=35"
"2","0.040611","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"3","0.044585","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"4","0.044585","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"5","0.046896","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"6","0.062417","192.168.1.105","74.125.13.39","UDP","77","63745  >  443 Len=35"
"7","0.063522","172.217.169.174","192.168.1.105","UDP","68","443  >  65108 Len=26"
"8","0.063522","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"9","0.067055","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"10","0.067055","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"11","0.068873","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"12","0.077838","192.168.1.105","74.125.13.39","UDP","75","63745  >  443 Len=33"
"13","0.080814","74.125.13.39","192.168.1.105","UDP","69","443  >  63745 Len=27"
"14","0.080814","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"15","0.080814","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"16","0.084235","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"17","0.084235","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"18","0.092412","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"19","0.092412","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"20","0.092412","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"21","0.092724","192.168.1.105","74.125.13.39","UDP","74","63745  >  443 Len=32"
"22","0.094966","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
"23","0.098534","74.125.13.39","192.168.1.105","UDP","1292","443  >  63745 Len=1250"
