Time,Protocol
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
0.0,TLSv1.2
5.3e-05,TCP
0.001222,TLSv1.2
0.001222,TLSv1.2
0.001222,TLSv1.2
0.001222,TLSv1.2
0.001222,TLSv1.2
0.001222,TLSv1.2
0.00128,TCP
0.001359,TLSv1.2
0.001359,TLSv1.2
0.00139,TCP
0.006021,TLSv1.2
0.006021,TLSv1.2
0.006021,TLSv1.2
0.006021,TLSv1.2
0.006021,TLSv1.2
0.006021,TLSv1.2
0.006062,TCP
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009596,TLSv1.2
0.009642,TCP
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015712,TLSv1.2
0.015829,TCP
0.018098,TLSv1.2
0.018098,TLSv1.2
0.018098,TLSv1.2
0.018098,TLSv1.2
0.018098,TLSv1.2
0.018098,TLSv1.2
0.018147,TCP
0.018888,TLSv1.2
0.018888,TLSv1.2
0.018938,TCP
0.020769,TLSv1.2
0.020769,TLSv1.2
0.020769,TLSv1.2
0.020769,TLSv1.2
0.020816,TCP
0.024481,TLSv1.2
0.024481,TCP
0.024481,TLSv1.2
0.024481,TLSv1.2
0.024481,TLSv1.2
0.024481,TLSv1.2
0.02453,TCP
0.026107,TLSv1.2
0.026107,TLSv1.2
0.026107,TLSv1.2
0.026107,TLSv1.2
0.026107,TLSv1.2
0.026107,TLSv1.2
0.026154,TCP
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032009,TLSv1.2
0.032083,TCP
0.034628,ICMPv6
0.036707,ICMPv6
0.052791,TLSv1.2
0.052791,TLSv1.2
0.052834,TCP
