Time,Protocol
0.0,TCP
5e-05,TCP
0.002234,TCP
0.002234,TCP
0.002234,TCP
0.002262,TCP
0.003054,SSLv2
0.003089,TCP
0.006845,DNS
0.007218,TCP
0.007253,TCP
0.010223,TCP
0.01025,TCP
0.015148,TCP
0.015148,TCP
0.015148,TCP
0.015148,SSLv2
0.015148,TCP
0.015148,TCP
0.015148,TCP
0.015148,TCP
0.015148,TCP
0.015148,TCP
0.015148,SSLv2
0.015148,TCP
0.015193,TCP
0.020523,TCP
0.020523,TCP
0.020523,TCP
0.020523,TCP
0.020557,TCP
0.020589,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,SSLv2
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029713,TCP
0.029848,TCP
0.029876,TCP
0.030907,TCP
0.030907,TCP
0.030907,SSLv2
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.030907,TCP
0.03098,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033154,TCP
0.033211,TCP
0.033248,TCP
0.033255,TCP
0.033889,TCP
0.033889,TCP
0.033889,TCP
0.033928,TCP
0.034984,TCP
0.034984,TCP
0.035013,TCP
0.042316,TCP
0.042316,TCP
0.042316,TCP
0.042316,TCP
0.042355,TCP
0.042405,TCP
0.043587,TCP
0.043587,TCP
0.043587,TCP
0.043601,TCP
0.044569,TCP
0.047019,TCP
0.047019,TCP
0.047019,TCP
0.047082,TCP
0.047104,TCP
0.055465,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
0.064411,TCP
